abbr,trump_approval_april
AK,52
AL,62
AR,54
AZ,48
CA,35
CO,40
CT,38
DC,19
DE,41
FL,48
GA,49
HI,33
IA,45
ID,53
IL,37
IN,51
KS,52
KY,55
LA,59
MA,32
MD,36
ME,43
MI,42
MN,39
MO,50
MS,61
MT,50
NC,49
ND,49
NE,50
NH,43
NJ,41
NM,41
NV,45
NY,37
OH,45
OK,53
OR,37
PA,45
RI,37
SC,53
SD,54
TN,56
TX,51
UT,46
VA,45
VT,35
WA,35
WI,41
WV,62
WY,61
